Product Name,Weight,Original Price,Special Price
Amul Lactose Free Milk,250ml,25.00,24.00
"['Glucon-D', ' Orange Flavoured Glucose', ' 400g Jar']",N/A,195.00,186.00
Glucon-D Instant Energy Regular,1kg Carton,198.00,189.00
Hersheys Chocolate Syrup,200g,95.00,91.00
Lipton Honey Lemon Green Tea,25 Tea Bags,170.00,162.00
Lipton Pure & Light Green Tea,25 Tea Bags,170.00,162.00
3 Roses Brooke Bond Dust Tea,100g,90.00,86.00
"['3 Roses Dust Tea', ' Topstar', ' 250g Carton']",N/A,220.00,209.00
Kissan Grape Squash,750 ml,150.00,143.00
Kissan Mango Squash Bottle,750 ml,150.00,143.00
Kissan Pineapple Squash Bottle,750 ml,150.00,143.00
Lipton Lemon Zest Green,10 Tea Bags,65.00,60.00
Nestle Everyday Dairy Whitener,400g,246.00,234.00
Red Label Brooke Bond Tea,250g,145.00,138.00
Red Label Natural Care Tea,500g,335.00,319.00
Brooke Bond Taj Mahal Leaf Tea,250g,230.00,219.00
Brooke Bond Taj Mahal Leaf Tea,1Kg,825.00,784.00
"['Tetley Green Tea Bags', ' Ginger Mint Lemon', ' 25 Tea Bags']",N/A,170.00,162.00
Amulya Dairy Whitener,500g Carton,215.00,210.00
Amulya Dairy Whitener,1Kg Pouch,399.00,380.00
Lipton Tulsi Natura Green Tea Bags,10 Tea Bags,65.00,60.00
Lipton Honey Lemon Green Tea Bags,10 Tea Bags,70.00,67.00
Tang Mango Instant Drink Mix,750g,250.00,238.00
Amul Taaza Toned Milk,1L,72.00,68.00
Amul Sagar Skim Milk Powder,500g,225.00,214.00
Cothas Coffee Nova-Therm Pure Filter Coffee Powder,500g,345.00,328.00
Chakra Gold Premium Tea,250g Carton,210.00,200.00
Tata Tea Gold,250g,145.00,138.00
Bru Instant Coffee,200g,420.00,399.00
Bru Instant Coffee,100g,220.00,209.00
Bru Instant Coffee,50g Pouch,110.00,105.00
Bru Instant Coffee,50g Bottle,170.00,162.00
MTR Gulab Jamun Ready Mix,160g (Buy 1 Get 1),135.00,129.00
Pantene Advanced Hairfall Solution Total Damage Care Shampoo,180ml,115.00,104.00
['Tide Ultra Matic Detergent Washing Powder 2Kg'],N/A,320.00,299.00
Dove Intense Repair Shampoo,340ml,345.00,328.00
Amul Cheese Slices,100g (5x20g),71.00,70.00
Amul Taaza Toned Milk,1L,72.00,68.00
Lipton Honey Lemon Green Tea,100 Tea Bags,550.00,490.00
Dabur Meswak Fluoride Free Toothpaste,300g (150g x 2),155.00,147.00
Pantene Pro-V Open Hair Miracle Oil Replacement,80ml,90.00,85.00
