Item,Cost
Avocado Pack 3Pc (Approx 550-700G), ₹469
Blueberries Imported Combo Pack (125 Gm*2 Punnets), ₹549
Blueberries Imported 500 Gm, ₹1299
Apple Royal Gala,MRP ₹279.5
Raspberry Indian 125 Gm Punnet, ₹399
Pomegranate Red,MRP ₹249.5
Orange Mandarins Combo (Approx 900 - 1000G),MRP ₹539
Pears Beauty Imported,MRP ₹249.5
Broccoli Pc (Approx 250 - 350G),MRP ₹99
Kiwi Golden 3 Pcs (1 Pack),MRP ₹519
Imported Avocado Pc,MRP ₹429
Elaichi Banana,MRP ₹54.75
Apple Fuji,MRP ₹274.5
APPLE PINK LADY 4 PC PACK, ₹299
Tangerine,MRP ₹114.5
Mushroom Button 200G,MRP ₹55
Apple Red Delicious Washington,MRP ₹299.5
Imported Blueberry,MRP ₹449
Tomato,MRP ₹19.5
Kiwi Green 3Pc [1 Pack], ₹199
Imported Red Globe Grapes, ₹59.8
Italian Lemon, ₹74.85
Natures Spinach 200 Gm,MRP ₹59
Capsicum Red,MRP ₹399
Apple Pink Lady,MRP ₹419
Apple Pink Lady,MRP ₹419
AVOCADO HASS IMPORTED PACK (2PC-450-500G),MRP ₹799
Natures Cherry Tomato Red 200 Gm,MRP ₹65
Natures Baby Spinach 200 Gm,MRP ₹55
Dragon Fruit Red Flesh 1Pc (Approx 250-300G), ₹109
